experiment	freq
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_SW620'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U87MG', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_WSUNHL', 'M3814_M3541', '300nM_500nM'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M4076'})	2
frozenset({nan, 'M4076', 'ONCOLEAD_CELL_COLO205', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_DU145', 'M4076'})	2
frozenset({nan, 'M4076', 'ONCOLEAD_CELL_HEPG2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HL60', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HT29', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_LOVO', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB435', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M4076', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_PANC1', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RAMOS', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SAOS2', 'M4076'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M4076', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M4076'})	2
